config,run,generation,attempt,day,fitness,yield,saving_ratio,healthiness,survival_pct,alive_count,initial_count,deaths_today,cost,saving,food_interval,food_quantity,food_location,probiotic_interval,probiotic_quantity,probiotic_location,oxygen_interval,oxygen_duration,oxygen_location,early_quit
full,1,1,3,1,0.9831,1.0000,0.9625,0.9620,100.0,49,49,0,18.75,481.25,6,20,9,24,2,9,5,3,9,False
full,1,1,3,2,0.9544,1.0000,0.8765,0.9594,100.0,49,49,0,61.75,438.25,6,24,9,24,1,9,6,3,9,False
full,1,1,3,3,0.9305,1.0000,0.8054,0.9559,100.0,49,49,0,97.30,402.70,6,10,9,24,1,9,7,3,9,False
full,1,1,3,4,0.9118,1.0000,0.7549,0.9388,100.0,49,49,0,122.55,377.45,8,10,9,24,1,9,4,1,9,False
full,1,1,3,5,0.8869,0.9796,0.7204,0.9196,98.0,48,49,1,139.80,360.20,10,5,9,24,1,9,8,2,9,False
full,1,1,3,6,0.8480,0.9388,0.6874,0.8740,93.9,46,49,2,156.30,343.70,5,20,9,24,4,9,6,3,9,False
full,1,1,3,7,0.8149,0.9184,0.6114,0.9000,91.8,45,49,1,194.30,305.70,8,10,9,24,1,9,8,2,9,False
full,1,1,3,8,0.8026,0.9184,0.5769,0.8926,91.8,45,49,0,211.55,288.45,2,15,9,24,2,9,6,2,9,False
full,1,1,3,9,0.7756,0.8980,0.5159,0.9286,89.8,44,49,1,242.05,257.95,3,10,9,48,1,9,9,2,9,False
full,1,1,3,10,0.7651,0.8980,0.4779,0.9456,89.8,44,49,0,261.05,238.95,1,15,9,24,2,9,3,2,9,False
full,1,1,3,11,0.7293,0.8980,0.3589,0.9750,89.8,44,49,0,320.55,179.45,4,15,9,24,2,9,12,2,9,False
full,1,1,3,12,0.7180,0.8980,0.3269,0.9689,89.8,44,49,0,336.55,163.45,3,8,9,24,2,9,8,2,9,False
full,1,1,3,13,0.7035,0.8980,0.2875,0.9563,89.8,44,49,0,356.25,143.75,8,10,9,48,1,9,20,1,9,False
full,1,1,3,14,0.6992,0.8980,0.2795,0.9427,89.8,44,49,0,360.25,139.75,2,10,9,24,2,9,8,2,9,False
full,1,1,3,15,0.6870,0.8980,0.2345,0.9642,89.8,44,49,0,382.75,117.25,2,10,9,24,1,9,8,2,9,False
full,1,1,3,16,0.6718,0.8980,0.1910,0.9576,89.8,44,49,0,404.50,95.50,5,30,9,24,1,9,16,2,9,False
full,1,1,3,17,0.6590,0.8980,0.1545,0.9509,89.8,44,49,0,422.75,77.25,12,20,9,24,3,9,16,4,9,False
full,1,1,3,18,0.6350,0.8776,0.1260,0.9231,87.8,43,49,1,437.00,63.00,4,10,9,24,2,9,6,3,9,False
full,1,1,3,19,0.6111,0.8776,0.0570,0.9132,87.8,43,49,0,471.50,28.50,6,10,9,24,1,9,8,4,9,False
full,1,1,3,20,0.0000,0.8776,0.0000,0.8979,87.8,43,49,0,501.75,0.00,6,10,9,24,1,9,8,4,9,False
full,1,2,3,1,0.8818,0.8163,0.9610,0.9642,100.0,40,40,0,19.50,480.50,5,18,9,144,1,9,8,2,9,False
full,1,2,3,2,0.8678,0.8163,0.9220,0.9544,100.0,40,40,0,39.00,461.00,6,25,9,144,3,9,8,1,9,False
full,1,2,3,3,0.8583,0.8163,0.8970,0.9445,100.0,40,40,0,51.50,448.50,3,15,9,144,3,9,8,2,9,False
full,1,2,3,4,0.8439,0.8163,0.8550,0.9399,100.0,40,40,0,72.50,427.50,8,10,9,48,1,9,20,1,9,False
full,1,2,3,5,0.8397,0.8163,0.8455,0.9307,100.0,40,40,0,77.25,422.75,12,20,9,24,1,9,12,4,9,False
