config,run,generation,attempt,day,fitness,yield,saving_ratio,healthiness,survival_pct,alive_count,initial_count,deaths_today,cost,saving,food_interval,food_quantity,food_location,probiotic_interval,probiotic_quantity,probiotic_location,oxygen_interval,oxygen_duration,oxygen_location,early_quit,prompt_tokens,completion_tokens,cumulative_tokens,prompt_words,completion_words,cumulative_words,trimmed,memory_compactions,last_compaction_day,memory_entries,memory_history_words
full,1,1,1,1,0.9854,1.0000,0.9875,0.9124,100.0,50,50,0,6.25,493.75,12,5,9,168,1,9,20,1,9,False,3453,126,6738,1391,1,2675,False,0,,1,47
full,1,1,1,2,0.9654,0.9800,0.9815,0.8543,98.0,49,50,1,9.25,490.75,12,5,9,168,1,9,20,1,9,False,3551,126,10415,1409,1,4085,False,0,,2,98
full,1,1,1,3,0.9582,0.9800,0.9755,0.8111,98.0,49,50,0,12.25,487.75,12,6,9,168,1,9,20,1,9,False,3631,154,14200,1429,20,5534,False,1,3,2,101
full,1,1,1,4,0.9535,0.9800,0.9693,0.7889,98.0,49,50,0,15.35,484.65,12,5,9,168,1,9,20,1,9,False,3617,154,17971,1429,20,6983,False,1,3,3,151
full,1,1,1,5,0.9284,0.9400,0.9633,0.7789,94.0,47,50,2,18.35,481.65,12,5,9,168,1,9,20,1,9,False,3643,154,21768,1433,20,8436,False,1,3,4,203
full,1,1,1,6,0.9097,0.9200,0.9523,0.7451,92.0,46,50,1,23.85,476.15,12,25,9,168,1,9,20,1,9,False,3888,128,25784,1529,1,9966,False,2,6,2,104
full,1,1,1,7,0.9148,0.9200,0.9423,0.8155,92.0,46,50,0,28.85,471.15,12,25,9,168,1,9,20,1,9,False,3890,156,29830,1527,20,11513,False,2,6,3,155
full,1,1,1,8,0.8756,0.8400,0.9308,0.8872,84.0,42,50,4,34.60,465.40,12,20,9,120,1,9,20,1,9,False,3940,156,33926,1531,20,13064,False,2,6,4,208
full,1,1,1,9,0.8750,0.8400,0.9218,0.9067,84.0,42,50,0,39.10,460.90,12,20,9,120,1,9,20,1,9,False,4102,156,38184,1605,20,14689,False,3,9,2,105
full,1,1,1,10,0.8736,0.8400,0.9128,0.9195,84.0,42,50,0,43.60,456.40,12,20,9,120,1,9,20,1,9,False,4126,156,42466,1605,20,16314,False,3,9,3,157
full,1,1,1,11,0.8592,0.8200,0.8973,0.9339,82.0,41,50,1,51.35,448.65,12,20,9,120,1,9,20,1,9,False,4040,156,46662,1571,20,17905,False,3,9,4,210
full,1,1,1,12,0.8576,0.8200,0.8883,0.9456,82.0,41,50,0,55.85,444.15,12,28,9,120,1,9,20,1,9,False,3988,156,50806,1555,20,19480,False,4,12,2,105
full,1,1,1,13,0.8545,0.8200,0.8777,0.9492,82.0,41,50,0,61.15,438.85,12,28,9,120,1,9,20,1,9,False,4136,156,55098,1647,20,21147,False,4,12,3,157
full,1,1,1,14,0.8512,0.8200,0.8671,0.9505,82.0,41,50,0,66.45,433.55,12,28,9,120,1,9,20,1,9,False,4136,156,59390,1647,20,22814,False,4,12,4,209
full,1,1,1,15,0.8471,0.8200,0.8565,0.9458,82.0,41,50,0,71.75,428.25,12,25,9,120,1,9,20,1,9,False,4066,128,63584,1567,1,24382,False,5,15,2,104
full,1,1,1,16,0.8412,0.8200,0.8400,0.9414,82.0,41,50,0,80.00,420.00,12,25,9,120,1,9,20,1,9,False,4166,128,67878,1645,1,26028,False,5,15,3,156
full,1,1,1,17,0.8369,0.8200,0.8300,0.9336,82.0,41,50,0,85.00,415.00,12,25,9,120,1,9,20,1,9,False,4170,128,72176,1645,1,27674,False,5,15,4,208
full,1,1,1,18,0.8325,0.8200,0.8200,0.9239,82.0,41,50,0,90.00,410.00,12,28,9,120,1,9,20,1,9,False,4036,156,76368,1561,20,29255,False,6,18,2,104
full,1,1,1,19,0.8279,0.8200,0.8094,0.9151,82.0,41,50,0,95.30,404.70,12,25,9,120,1,9,20,1,9,False,4010,156,80534,1529,20,30804,False,6,18,3,156
full,1,1,1,20,0.8121,0.8000,0.7994,0.9026,80.0,40,50,1,100.30,399.70,12,25,9,120,1,9,20,1,9,False,4142,128,84804,1615,1,32420,False,6,18,4,209
full,1,1,1,21,0.7973,0.7800,0.7829,0.9163,78.0,39,50,1,108.55,391.45,12,25,9,120,1,9,20,1,9,False,4164,128,89096,1615,1,34036,False,7,21,2,106
full,1,1,1,22,0.7949,0.7800,0.7729,0.9233,78.0,39,50,0,113.55,386.45,12,25,9,120,1,9,20,1,9,False,4138,128,93362,1613,1,35650,False,7,21,3,158
full,1,1,1,23,0.7904,0.7800,0.7629,0.9141,78.0,39,50,0,118.55,381.45,12,20,9,120,1,9,20,1,9,False,4030,156,97548,1541,20,37211,False,7,21,4,210
full,1,1,1,24,0.7889,0.7800,0.7539,0.9257,78.0,39,50,0,123.05,376.95,6,20,9,120,1,9,20,1,9,False,4019,126,101693,1561,1,38773,False,8,24,2,104
full,1,1,1,25,0.7759,0.7600,0.7409,0.9451,76.0,38,50,1,129.55,370.45,6,20,9,120,1,9,20,1,9,False,4195,154,106042,1627,20,40420,False,8,24,3,157
full,1,1,1,26,0.7603,0.7400,0.7214,0.9603,74.0,37,50,1,139.30,360.70,6,20,9,48,1,9,10,1,9,False,4089,152,110283,1547,20,41987,False,8,24,4,210
full,1,1,1,27,0.7540,0.7400,0.7019,0.9616,74.0,37,50,0,149.05,350.95,6,20,9,48,1,9,10,1,9,False,4197,152,114632,1629,20,43636,False,9,27,2,105
full,1,1,1,28,0.7457,0.7400,0.6789,0.9558,74.0,37,50,0,160.55,339.45,6,20,9,48,1,9,10,1,9,False,4205,152,118989,1629,20,45285,False,9,27,3,157
full,1,1,1,29,0.7413,0.7400,0.6594,0.9724,74.0,37,50,0,170.30,329.70,6,20,9,48,1,9,10,1,9,False,4075,152,123216,1555,20,46860,False,9,27,4,209
full,1,1,1,30,0.7350,0.7400,0.6414,0.9697,74.0,37,50,0,179.30,320.70,6,20,9,48,1,9,10,1,9,False,0,0,123216,0,0,46860,False,9,27,4,209
full,1,2,1,1,0.9905,1.0000,0.9825,0.9693,100.0,50,50,0,8.75,491.25,6,15,9,72,1,9,12,1,9,False,3838,152,130612,1469,20,49650,False,9,,1,45
full,1,2,1,2,0.9852,1.0000,0.9665,0.9692,100.0,50,50,0,16.75,483.25,6,14,9,72,1,9,12,1,9,False,3906,152,134670,1483,20,51153,False,9,,2,91
full,1,2,1,3,0.9793,1.0000,0.9509,0.9627,100.0,50,50,0,24.55,475.45,6,13,9,72,1,9,12,1,9,False,3874,124,138668,1477,1,52631,False,10,3,2,94
full,1,2,1,4,0.9725,1.0000,0.9342,0.9520,100.0,50,50,0,32.90,467.10,6,12,9,72,1,9,12,1,9,False,3890,152,142710,1481,20,54132,False,10,3,3,144
full,1,2,1,5,0.9689,1.0000,0.9194,0.9624,100.0,50,50,0,40.30,459.70,6,12,9,72,1,9,12,1,9,False,3876,152,146738,1477,20,55629,False,10,3,4,192
full,1,2,1,6,0.9638,1.0000,0.9046,0.9608,100.0,50,50,0,47.70,452.30,6,25,9,72,1,9,12,1,9,False,3905,124,150767,1511,1,57141,False,11,6,2,98
full,1,2,1,7,0.9578,1.0000,0.8831,0.9700,100.0,50,50,0,58.45,441.55,6,25,9,72,1,9,14,1,9,False,3933,124,154824,1515,1,58657,False,11,6,3,150
full,1,2,1,8,0.9518,1.0000,0.8631,0.9747,100.0,50,50,0,68.45,431.55,6,25,9,72,1,9,14,1,9,False,3925,152,158901,1515,20,60192,False,11,6,4,202
full,1,2,1,9,0.9446,1.0000,0.8431,0.9696,100.0,50,50,0,78.45,421.55,6,24,9,72,1,9,14,1,9,False,4055,152,163108,1567,20,61779,False,12,9,2,104
full,1,2,1,10,0.9379,1.0000,0.8220,0.9719,100.0,50,50,0,89.00,411.00,6,23,9,72,1,9,14,1,9,False,4163,124,167395,1609,1,63389,False,12,9,3,156
full,1,2,1,11,0.9337,1.0000,0.8078,0.9759,100.0,50,50,0,96.10,403.90,6,22,9,72,1,9,14,1,9,False,4169,124,171688,1609,1,64999,False,12,9,4,208
full,1,2,1,12,0.9265,1.0000,0.7890,0.9678,100.0,50,50,0,105.50,394.50,6,25,9,72,1,9,14,1,9,False,4141,152,175981,1583,20,66602,False,13,12,2,104
full,1,2,1,13,0.9186,1.0000,0.7675,0.9608,100.0,50,50,0,116.25,383.75,6,24,9,72,1,9,14,1,9,False,4309,124,180414,1671,1,68274,False,13,12,3,158
full,1,2,1,14,0.9126,1.0000,0.7529,0.9515,100.0,50,50,0,123.55,376.45,6,23,9,72,1,9,14,1,9,False,4305,124,184843,1671,1,69946,False,13,12,4,212
full,1,2,1,15,0.8963,0.9800,0.7337,0.9602,98.0,49,50,1,133.15,366.85,6,25,9,72,1,9,14,1,9,False,4139,152,189134,1559,20,71525,False,14,15,2,109
full,1,2,1,16,0.8919,0.9800,0.7122,0.9819,98.0,49,50,0,143.90,356.10,6,25,9,72,1,9,14,1,9,False,4327,152,193613,1655,20,73200,False,14,15,3,163
full,1,2,1,17,0.8855,0.9800,0.6922,0.9843,98.0,49,50,0,153.90,346.10,6,20,9,72,1,9,14,1,9,False,4135,152,197900,1573,20,74793,False,14,15,4,217
full,1,2,1,18,0.8804,0.9800,0.6792,0.9772,98.0,49,50,0,160.40,339.60,6,25,9,72,1,9,14,1,9,False,4133,124,202157,1575,1,76369,False,15,18,2,108
full,1,2,1,19,0.8725,0.9800,0.6577,0.9704,98.0,49,50,0,171.15,328.85,6,25,9,72,1,9,14,1,9,False,4165,124,206446,1581,1,77951,False,15,18,3,162
full,1,2,1,20,0.8644,0.9800,0.6377,0.9582,98.0,49,50,0,181.15,318.85,6,25,9,72,1,9,14,1,9,False,4287,124,210857,1665,1,79617,False,15,18,4,216
full,1,2,1,21,0.8578,0.9800,0.6227,0.9445,98.0,49,50,0,188.65,311.35,6,20,9,72,1,9,14,1,9,False,4191,124,215172,1591,1,81209,False,16,21,2,108
full,1,2,1,22,0.8482,0.9800,0.6032,0.9175,98.0,49,50,0,198.40,301.60,6,20,9,72,1,9,14,1,9,False,4365,152,219689,1681,20,82910,False,16,21,3,162
full,1,2,1,23,0.7995,0.9000,0.5852,0.9278,90.0,45,50,4,207.40,292.60,6,25,9,72,1,9,14,1,9,False,4165,152,224006,1571,20,84501,False,16,21,4,217
full,1,2,1,24,0.7969,0.9000,0.5652,0.9618,90.0,45,50,0,217.40,282.60,6,25,9,48,1,9,14,1,9,False,4183,152,228341,1605,20,86126,False,17,24,2,109
full,1,2,1,25,0.7933,0.9000,0.5487,0.9773,90.0,45,50,0,225.65,274.35,6,20,9,48,1,9,14,1,9,False,4335,124,232800,1683,1,87810,False,17,24,3,163
full,1,2,1,26,0.7859,0.9000,0.5307,0.9647,90.0,45,50,0,234.65,265.35,6,25,9,48,1,9,14,1,9,False,4155,152,237107,1581,20,89411,False,17,24,4,217
full,1,2,1,27,0.7786,0.9000,0.5092,0.9631,90.0,45,50,0,245.40,254.60,6,20,9,48,1,9,14,1,9,False,4339,152,241598,1695,20,91126,False,18,27,2,108
full,1,2,1,28,0.7742,0.9000,0.4962,0.9622,90.0,45,50,0,251.90,248.10,6,20,9,48,1,9,14,1,9,False,4347,152,246097,1695,20,92841,False,18,27,3,162
full,1,2,1,29,0.7676,0.9000,0.4767,0.9609,90.0,45,50,0,261.65,238.35,6,25,9,48,1,9,14,1,9,False,4157,152,250406,1589,20,94450,False,18,27,4,216
full,1,2,1,30,0.7500,0.8800,0.4567,0.9609,88.0,44,50,1,271.65,228.35,6,25,9,48,1,9,14,1,9,False,0,0,250406,0,0,94450,False,18,27,4,216
full,1,3,1,1,0.9903,1.0000,0.9805,0.9731,100.0,50,50,0,9.75,490.25,6,20,9,72,1,9,12,1,9,False,4596,177,258825,1631,22,97444,False,18,,1,48
full,1,3,1,2,0.9827,1.0000,0.9625,0.9593,100.0,50,50,0,18.75,481.25,6,20,9,72,1,9,12,1,9,False,4645,170,263640,1641,20,99105,False,18,,2,96
full,1,3,1,3,0.9761,1.0000,0.9445,0.9537,100.0,50,50,0,27.75,472.25,6,20,9,72,1,9,12,1,9,False,4579,170,268389,1629,20,100754,False,19,3,2,96
full,1,3,1,4,0.9677,1.0000,0.9250,0.9373,100.0,50,50,0,37.50,462.50,6,20,9,72,1,9,12,1,9,False,4550,170,273109,1623,20,102397,False,19,3,3,142
full,1,3,1,5,0.9619,1.0000,0.9070,0.9381,100.0,50,50,0,46.50,453.50,6,20,9,72,1,9,12,1,9,False,4634,177,277920,1637,22,104056,False,19,3,4,194
full,1,3,1,6,0.9445,0.9800,0.8890,0.9347,98.0,49,50,1,55.50,444.50,7,20,9,72,1,9,12,1,9,False,4601,170,282691,1653,20,105729,False,20,6,2,105
full,1,3,1,7,0.9395,0.9800,0.8715,0.9406,98.0,49,50,0,64.25,435.75,7,20,9,72,1,9,12,1,9,False,4571,177,287439,1647,22,107398,False,20,6,3,155
full,1,3,1,8,0.9321,0.9800,0.8535,0.9283,98.0,49,50,0,73.25,426.75,7,20,9,72,1,9,12,1,9,False,4592,176,292207,1651,22,109071,False,20,6,4,207
full,1,3,1,9,0.9253,0.9800,0.8375,0.9160,98.0,49,50,0,81.25,418.75,7,29,9,72,1,9,12,1,9,False,4764,177,297148,1719,22,110812,False,21,9,2,106
full,1,3,1,10,0.9093,0.9600,0.8144,0.9377,96.0,48,50,1,92.80,407.20,7,28,9,72,1,9,12,1,9,False,4850,169,302167,1755,20,112587,False,21,9,3,161
full,1,3,1,11,0.9035,0.9600,0.7960,0.9400,96.0,48,50,0,102.00,398.00,7,25,9,72,1,9,12,1,9,False,4786,169,307122,1723,20,114330,False,21,9,4,215
full,1,3,1,12,0.8990,0.9600,0.7760,0.9576,96.0,48,50,0,112.00,388.00,7,26,9,72,1,9,12,1,9,False,4782,168,312072,1723,20,116073,False,22,12,2,108
full,1,3,1,13,0.8929,0.9600,0.7567,0.9599,96.0,48,50,0,121.65,378.35,7,25,9,72,1,9,12,1,9,False,4771,170,317013,1699,20,117792,False,22,12,3,162
full,1,3,1,14,0.8867,0.9600,0.7392,0.9563,96.0,48,50,0,130.40,369.60,7,25,9,72,1,9,12,1,9,False,4914,175,322102,1787,22,119601,False,22,12,4,216
